healthTOlarge,healthTOsmall,largeTOhealth,largeTOsmall,smallTOhealth,smallTOlarge
0.066263944,0.032101145,0.081577209,0.0572794,0.162193882,0.076333659
-0.075065688,-0.098186798,-0.055722939,0.000358973,-0.048946773,0.094832423
0.027837275,0.039595892,0.033485346,-0.000261439,0.033828428,-0.05476251
0.094534909,0.015619381,-0.01373016,0.042131107,-0.075375137,-0.059382222
-0.028692366,0.092651443,-0.012684615,-0.018659349,-0.111321134,-0.057188863
0.155127922,0.055775151,0.120170835,0.037736163,0.013937139,0.160131825
0.035126213,0.035774808,-0.023511765,0.00197973,0.019708451,-0.077961766
0.134046933,-0.08614298,0.010218062,0.012126456,-0.127837388,-0.018084291
0.094465262,0.115133667,0.036650762,-0.007961065,0.039926424,0.038184742
0.132449825,0.040554575,0.00920571,0.054933633,0.131510654,0.194050744
0.257741825,-0.016539028,0.028288487,0.090741703,-0.051449062,0.156019435
0.044531988,0.074785564,0.098847396,-0.057967911,0.245873778,0.305515397
-0.014654615,0.03007754,-0.037382098,-0.03606489,-0.021757349,-0.086810574
0.03057086,0.183483305,-0.004884398,-0.082242469,0.155588723,0.072469833
0.045715655,-0.057888193,0.09026282,0.081151949,-0.014450885,0.003802072
0.050985805,-0.052071488,-0.024403192,-0.07557467,0.209159923,0.020897103
0.083603226,-0.045271217,0.047851765,0.010447573,-0.038259104,0.006575879
-0.024346613,0.101961919,-0.057097817,0.049766302,-0.010641117,-0.021751091
-0.00964231,-0.10117769,0.006095851,-0.053939541,0.026728418,0.10163089
0.010886961,0.107455553,0.14656861,0.021646965,-0.025992828,-0.038396498
0.170619901,-0.008724442,-0.017480008,0.019239157,-0.075094146,-0.054980604
0.151014505,0.04350264,0.016909327,0.052654025,0.114096744,0.004006981
0.066977079,0.079038402,0.030465713,0.1196547,0.240020911,0.010364591
-0.043149901,0.045904095,0.074918456,-0.014313998,0.109560565,0.001138644
0.013715053,0.051149981,0.049661939,-0.049144789,0.037737605,0.131111902
0.092934669,-0.111669996,-0.073574726,-0.009121874,-0.03662454,-0.057890783
-0.087669198,-0.089061215,-0.089987488,-0.035292238,0.350428277,0.100648324
0.003944676,-0.16305129,0.015118237,-0.045291651,0.029044747,0.026276803
0.099656302,0.049382583,0.174633147,0.069475735,0.207362227,-0.007300247
-0.048843382,-0.061752069,-0.12842073,-0.068656646,-0.04693214,-0.054293636
-0.030303409,0.071577637,-0.05844703,0.045370891,-0.230866634,-0.031980064
-0.034509705,0.197156579,0.029717642,-0.001936063,0.046407358,0.084207824
-0.023165451,0.008480023,-0.096981069,-0.051130814,-0.017531206,0.0009963
0.699086988,0.295656234,0.124018657,0.041306896,0.189833353,0.047611839
0.067705564,0.008334752,-0.027691962,0.02689009,-0.033644588,-0.024778746
0.408851673,0.229932464,0.123796011,0.064363028,0.087885575,0.164139297
0.253156854,0.000667566,0.12065776,0.043637168,-0.237665805,-0.012562036
0.422394001,0.229447291,-0.018881205,0.036800484,0.168819423,-0.001800309
0.119124429,0.06954666,-0.006256711,-0.121695024,0.155617701,0.150863639
0.210797191,0.041667418,-0.012570598,-0.075442103,2.085536138,1.24623367
-0.366973395,-0.130528149,-0.010132478,-0.072545628,-0.040469337,-0.013025303
0.21655177,0.15954129,-0.124619802,-0.002567487,0.602146875,0.267217172
0.131746879,0.126491567,1.300984008,0.295617649,-0.126752072,-0.351162501
0.154227802,0.040806585,-0.892933906,-0.23858985,-1.050233801,-0.718392515
0.415849536,0.293190548,0.185512249,0.019702166,0.82211674,0.34168517
0.019331002,0.041298503,0.353795026,0.113497735,0.281112654,0.056283439
0.287171383,0.256109606,-0.488004547,-0.119908174,0.742803274,0.309879506
-0.006162524,0.052011937,0.935543343,0.214450017,0.689562986,0.256712269
0.343413222,0.230408407,-0.305103299,-0.032090069,0.612763138,0.160546049
0.010633115,0.027346263,0.422959306,0.050306731,-0.07837255,-0.153508458
-0.00171259,-0.005475547,0.529256868,0.117427459,1.285216744,0.649159406
-0.294671858,-0.118454225,0.029511084,0.048125363,0.649920968,0.976526703
0.241832668,0.239353977,0.562436841,0.087323137,3.952589073,0.750380387
-0.10774015,0.151845267,-0.212103913,-0.042847081,0.200099912,0.050739801
0.224946735,0.005416362,-0.338583181,-0.046195941,1.171810718,0.222084557
0.292539345,0.177686483,-0.080494337,-0.064108654,-1.077904393,-0.275011267
0.001791688,-0.046804117,1.691627239,0.292072126,-4.783859297,-0.406110355
0.209979514,-0.023957926,-1.686053422,-0.256934951,-1.216200041,0.121098052
0.01632279,0.019281501,0.224688277,0.018550072,1.611076501,0.046019477
0.253260347,0.086617997,1.329131618,0.081444913,-0.451602381,0.349996013
0.078740409,-0.058467686,-1.651826484,-0.111711239,-5.615657796,0.141613871
0.024272606,0.054006614,0.015899893,0.234332983,-0.066184712,-0.168618159
-0.117556793,0.023589482,-0.546367627,-0.000771498,-0.955987233,0.068892795
0.141388678,0.147722879,0.639367913,0.047829093,1.249386992,0.562323773
0.143813086,0.116039713,1.051579035,0.090908109,2.739534244,0.55091712
0.053922887,0.065736831,-0.05378359,0.052554374,0.466363459,0.533852116
0.076091363,0.991554352,-2.26622713,0.080332438,0.093789449,0.052034431
-0.126703283,0.047837709,0.708355888,-0.028148967,0.151829948,0.188673349
0.099754693,0.116061871,-1.525197918,-0.065147217,-0.251768691,-0.057448999
-0.146123394,0.20424195,-0.537535062,-0.07994819,-0.25978793,-0.334256302
0.132382405,0.536086436,0.248260721,0.137759469,0.158663353,0.09400574
-0.036851772,0.230197341,-0.250171872,-0.134804652,0.13655994,0.026617169
0.012836427,0.229027558,0.036194242,0.038382741,0.10758312,0.133621823
-0.089733079,-0.431974688,0.071890919,0.021823958,0.452390597,0.181341617
-0.163162704,0.204629707,0.049469571,0.055603508,0.025702937,0.04879782
-0.017158501,0.396816959,0.162736767,0.111227724,0.034840364,0.02159403
-0.105564193,0.211452166,-0.074846758,-0.046692242,0.162393375,0.334378336
0.991020508,0.115851811,0.049860546,0.064867822,0.253818063,0.391193626
0.13477555,-0.002490454,0.033307648,0.063485294,0.228785355,0.121257796
0.442775923,0.20188628,0.097553916,0.045818818,-0.149435513,0.119355794
-0.045838168,0.096998347,0.188183546,0.034909346,0.095187429,0.133534429
0.340924529,0.011341032,-0.080751819,-0.105531512,-0.114949832,0.149182819
0.380165126,0.036357723,-0.0932949,0.017907118,-0.092839947,-0.113880249
0.306036121,0.151651888,-0.079811413,-0.02645961,0.059921502,-0.02545492
-0.177295534,-0.106805393,0.122482816,0.85852737,-0.011356315,-0.115010551
-0.244082003,0.197813427,-0.076925639,-0.732365034,0.064369427,0.24409703
0.285692623,0.22010942,0.007613083,0.079443421,0.189782755,0.044850808
0.228484048,0.043893954,-0.056636111,0.205691748,0.040809956,0.105245082
0.550664408,0.075364802,-0.137171582,-0.109416492,0.049694426,0.113896623
-0.037247229,-0.162740153,0.077549304,0.600468754,0.231567968,0.10264424
0.023348852,0.045436271,-0.112465624,-0.390583069,0.068555937,0.137325919
0.11198287,-0.268811082,0.091959742,0.052998637,0.105759342,1.668829667
0.49861384,0.25877846,0.102679436,0.047734233,-0.007516286,0.083934052
0.095358486,0.03268531,-0.031068395,0.053694747,-0.021819945,0.40664031
-0.001867165,0.168193435,0.152281972,0.275259225,0.055616006,-0.144053363
0.048812063,-0.005462798,0.093187421,-0.355243858,-0.157408685,-1.472467853
0.022552258,0.126335707,0.006518897,-0.31401247,0.000103329,0.476851997
0.307568188,-0.168185836,0.02945518,0.12012939,-0.04853664,-0.243987785
0.181051624,0.023677988,0.049566437,0.124133881,0.039289355,0.07414342
12.49077962,0.099930225,0.006840562,-0.093850821,0.076084097,0.34754138
-2.962852745,-0.057199267,-0.003556336,-0.010260132,0.114609705,0.516603109
-1.668026665,0.043120531,0.021094666,0.009047732,-0.059214267,-0.377965803
5.426446973,0.08994053,-0.048503664,0.03736469,-0.104919316,0.909992409
2.764149325,0.101010077,0.102070092,0.1073301,0.128810936,0.821668569
3.236815506,0.233799274,-0.042497329,0.013597804,0.198776895,0.85290223
-0.063330045,0.037483345,0.076285114,0.023280185,0.061686868,0.072237652
0.299240205,0.02296594,0.029952454,0.091504991,0.075513054,0.191242739
-3.112901598,0.013127485,-0.058714121,0.01223022,-0.03759809,-0.072984973
6.376354733,0.103352756,-0.057650348,-0.029386806,-0.016560721,-0.729394634
-0.076571835,0.025271564,0.017729191,0.055624338,0.137384278,0.236447393
7.149207592,0.026052705,0.040451438,-0.13437669,0.083627371,-0.114522859
-1.782235446,0.02963761,-0.039307754,-0.066419149,0.191950702,0.187517826
-0.842636223,-0.158310414,0.129719096,0.151204754,0.058309123,0.638376066
3.162097576,-0.018851818,-0.121762823,-0.040431169,0.117003044,0.323139372
1.463584287,-0.051145259,-0.007360057,-0.049406335,0.023584698,-0.17557889
1.872564912,0.011783724,0.07407595,0.018531259,-0.117434401,0.402693677
0.010814883,0.17912811,0.056593265,-0.155172174,0.320491247,0.252506186
0.290024992,0.060491244,0.039122688,0.00825692,0.719580045,23.83294665
-1.924281416,0.192107091,-0.063205309,-0.104820097,0.147335112,1.299336382
3.559280267,-0.064470593,-0.005848548,0.055798451,0.327311842,1.858360426
0.139641605,0.199715141,-0.05022459,0.230518317,-0.104608959,-6.110102356
7.168804989,0.151319051,0.014174644,0.151506082,-0.449796712,-8.679601792
-1.77255639,-0.018579785,0.054750039,0.212248844,0.296894138,13.47210859
-0.832002195,0.075714644,-0.17836163,-0.105710247,0.153104922,0.078725704
3.15770857,-0.094950843,-0.057449729,0.015017689,0.225578428,9.920117304
1.4625351,0.041195223,-0.061656824,-0.057098146,0.092273718,19.76544996
1.882420024,0.288478232,0.399386274,0.108064033,-0.090871268,6.145895096
0.012073739,0.027873531,-0.381607555,-0.027849911,-0.105834873,1.21163259
0.293371456,0.052101104,-0.029877733,0.02691405,0.492962612,11.52903704
-1.929916925,0.020876944,0.143743646,0.099367647,0.20308687,6.300482454
3.576120713,-0.132568842,0.001700361,0.016391309,0.310772583,13.55765308
0.138723056,-0.038368034,0.22076338,0.133233834,0.058502182,0.857863783
4.081541832,7.161491539,0.020866289,-0.050680103,0.254291222,0.926190309
-0.85817932,-1.782306087,-0.072375479,-0.036792391,-0.168932414,-3.601381525
-0.279427869,-0.840984616,0.180595951,0.020341829,-0.040102115,-5.004479519
1.692202456,3.157118763,0.136502251,-0.001137722,0.008757031,7.74809614
1.037007642,1.459621713,0.122052999,0.081962531,-0.074517474,-0.08700355
0.83830814,1.871093885,-0.103867239,0.002811885,-0.009703656,5.643411626
0.353267607,0.01803267,-0.136298153,0.006561099,0.115435966,11.12948495
-0.10144758,0.290250139,-0.117644999,-0.05088411,0.099252947,3.583375696
-0.81739418,-1.922917526,0.159224298,-0.004505061,-0.185222671,0.719309827
1.839427029,3.55723604,-0.129538863,-0.021215026,0.307699651,6.687453061
0.313633162,0.13658756,-0.066151374,0.125409321,0.088098705,3.554781419
6.406528341,7.166860175,-0.007600919,-0.016423135,0.400972838,13.58904037
-1.527977988,-1.778978424,-0.016793491,0.081176989,-0.028601829,0.860615295
-0.791842791,-0.834131681,0.189160379,-0.049521862,0.09081909,0.93127781
2.769159903,3.158860948,0.035702705,-0.037217993,-0.142721866,-3.595444017
1.352412437,1.468171088,0.100029241,0.076040989,-0.142284285,-5.044303662
1.663402411,1.875769589,0.059103228,0.114911101,0.175711554,7.743010835
-0.00627042,0.011146687,0.012599484,0.038902382,0.039349712,-0.09344
0.206153591,0.288570926,0.090415999,0.044953229,0.187439991,5.633154428
-1.663166405,-1.918416294,-0.000474684,0.022034353,0.241605743,11.13210226
3.163212714,3.560059026,-0.113269398,0.0659699,-0.021258095,3.601429581
0.233738209,0.141001713,-0.059704425,0.020980984,-0.053656607,0.716920968
0.500149293,0.072663289,0.243184688,0.10840192,0.140823239,6.701552912
0.066853881,0.185810071,-0.247646526,-0.074696568,0.118654062,3.57184589
0.059548691,-0.132206382,-0.064858296,-0.008462681,0.093323169,7.649244528
0.063508987,0.034925337,0.007327504,0.12094993,0.098806623,0.386205385
0.823879365,0.133718396,0.008539543,-0.026550769,0.110620334,0.7673361
0.370493867,-0.413724794,0.151161512,0.034653785,-0.031132007,-2.085056611
-0.054403241,0.361604073,-0.064551847,-0.118334415,-0.070408315,-3.042912944
-0.109677404,-0.370266035,0.000630196,-0.060198899,0.023461804,4.05248762
0.043962138,0.325548034,0.068089111,0.051154878,-0.069218608,-0.075254198
0.593705264,-0.092851571,0.00307644,0.105099873,-0.052698202,3.158389539
-0.02379775,0.280336244,0.119941631,0.029633965,0.066988382,5.726292231
0.013961298,5.792092986,-0.020618544,0.095788714,0.056475006,2.113148664
-0.015256456,-1.350800984,-0.077803633,0.011866286,-0.10329421,0.441814565
0.043322832,-0.722257635,0.011722722,0.009342223,0.013079687,3.729733394
-0.025424198,2.60611533,0.065788741,10.86317218,0.038066656,2.15592727
0.091948709,1.307759968,0.004820055,-6.813059602,0.104784706,12.14105341
-0.034625765,1.512493861,-0.060727869,1.226281148,0.002914738,0.704419981
-0.084361663,-0.056060465,0.024108249,3.103573981,-0.136371031,0.831650456
-0.079239688,0.186364526,-0.037423178,-4.646233915,-0.063283704,-3.265647402
0.117618308,-1.549535618,0.107730976,8.363491481,-0.0606609,-4.519484531
0.061862045,2.972778528,-0.015542163,-4.028698096,0.003344458,6.921267673
0.158669186,0.227804629,0.068110063,4.118705043,-0.049108859,-0.112790781
0.019600825,0.111173142,0.075871926,7.184591339,0.137273098,5.060252219
-0.125547235,0.047238261,0.007597737,0.816522427,0.018558407,9.889536104
0.038084347,0.075451696,-0.005249729,6.236013999,0.09653433,3.099272371
-0.146083549,-0.047594773,-0.013523638,-2.204460226,-0.01749696,0.665433168
0.142270189,0.113357837,-0.048182257,-0.432064752,0.008653645,6.02992408
-0.01953392,-0.020936186,-0.030877772,2.773252623,0.043008436,3.105532735
0.066582842,0.032256715,0.073925142,10.86809019,1.503227542,0.888315979
0.056382274,0.09038741,-0.083477077,-6.820036034,-0.294303504,-0.064235086
-0.050649777,0.000124353,-0.044381077,1.225047989,0.382807483,0.190612872
-0.014968079,-0.018611248,0.028652257,3.105571887,-0.270900309,0.268037314
0.047231008,0.004467168,0.017855862,-4.64743131,-1.457757007,-0.789796471
