0to1TOhealth,0to1TOlarge,0to2TOhealth,0to2TOlarge,corrTOhealth,corrTOlarge
-2.47E-05,0.006584123,0.000734105,0.001172299,0.002730194,0.003152211
0.000482773,0.001786159,-0.002048521,0.000596527,-0.000563391,0.002137147
0.009153116,-0.001892682,0.00221718,-0.001183035,0.00530062,0.000127002
0.030878576,0.042052773,-0.021205998,-0.098943027,0.060682488,0.187005013
-0.045436343,0.0312024,0.000400189,-0.062212558,0.031800381,0.120207426
0.01628268,0.019035769,-0.021349824,-0.045605942,0.026726719,0.083659466
0.00847974,0.000880197,0.002433188,-0.000224281,0.00018675,-0.002393865
0.006510193,0.000759738,-0.000917553,-0.059795273,0.002236313,0.09582956
0.005376587,0.013431588,3.83E-05,-0.014756134,0.00044352,0.022995858
0.017729535,0.029849617,0.002831702,-0.056164069,0.007408824,-0.152257946
0.005854175,0.022732677,0.001832526,-0.030463631,0.003992251,-0.082854291
0.009575043,0.021988756,-0.000935542,-0.030768879,0.006046144,-0.082810411
0.001791465,0.036288083,-0.001544345,-0.085027272,0.00162983,0.080848183
0.006657852,0.022614904,0.002582654,-0.025749248,0.001923531,-0.073480466
0.058605576,0.086748577,0.008442823,-0.020870952,-0.015166516,-0.063521113
0.212367121,-0.002642526,-0.016702509,-6.73E-05,0.042081901,-0.001168038
0.014883703,0.007136902,-0.000965274,-0.00173928,0.001579768,0.001052391
0.00742013,0.051206221,0.003142293,-0.027916937,0.002364601,-0.001535589
0.008928356,0.02008074,0.000691583,-0.018049711,0.006693692,0.021340209
-0.001295279,-0.001806047,0.000483877,-0.002899952,0.001443605,0.004175549
-0.010711237,0.004656601,-0.003839652,-0.002499746,-0.002618014,0.000538357
,-0.004957057,,-0.003403349,,0.00141984
,-0.005015887,,-0.003402723,,0.002945088
